"OBJECTID_1","OBJECTID_2","name","SOURCE","DEFINITION","ADM1_NAME","ADM2_NAME","RELIABILIT","X_COORD","Y_COORD","P_CODE","MGRS_CODE","Profile_Ma","market_settlement","Id","hex_4000km_market","geometry"
369,372,"Arbo-Heerow","UNDP - 2006, UNDP - 1997","Settlement","Lower Shabelle","Kurtunwaarey","Verified",44.19927,1.56415,"NA-3810-L16-001","38NMG1092872902",NA,"NA-3810-L16-001",0,"T-56",c(44.19927, 1.56415)
370,373,"Arbohiray","UNDP - 1997","Settlement","Bay","Diinsoor","Verified",42.90255,1.8504,"NA-3809-D20-001","38NKH6667404663",NA,"NA-3809-D20-001",0,"M-54",c(42.90255, 1.8504)
377,380,"Dayax","UNDP - 2006","Part of town","Lower Shabelle","Baraawe","Verified",44.03105,1.10997,"NA-3810-X12-004","38NLG9219522702",NA,"NA-3810-X12-004",0,"S-58",c(44.03105, 1.10997)
391,394,"Barako","UNDP - 2006, UNDP - 1997","Settlement","Middle Shabelle","Jowhar","Verified",45.38798,2.83435,"NA-3807-D09-001","38NNJ4312013290",NA,"NA-3807-D09-001",0,"AA-49",c(45.38798, 2.83435)
398,401,"Baray-Baray","UNDP - 2006","Settlement","Bay","Baidoa","Verified",43.3869,3.30956,"NA-3801-S31-003","38NLJ2077665955",NA,"NA-3801-S31-003",0,"O-46",c(43.3869, 3.30956)
416,419,"Booka","UNDP - 2006, UNDP - 1997","Settlement","Lower Juba","Afmadow","Verified",42.410049,0.07823,"NA-3813-Y10-005","38NKF1170408655",NA,"NA-3813-Y10-005",0,"I-63",c(42.410049, 0.07823)
423,426,"Boor Boor","UNDP - 2006","Settlement","Bay","Qansax Dheere","Verified",42.8398,2.85068,"NA-3805-D19-003","38NKJ5986215313",NA,"NA-3805-D19-003",0,"L-49",c(42.8398, 2.85068)
423,426,"Boor Boor","UNDP - 2006","Settlement","Bay","Qansax Dheere","Verified",42.8398,2.85068,"NA-3805-D19-003","38NKJ5986215313",NA,"NA-3805-D19-003",0,"L-49",c(42.8398, 2.85068)
449,452,"Borame","FSAU","Settlement","Bay","Baidoa","Verified",43.19636,3.27225,"NA-3801-T27-002","38NKJ9959161865",NA,"NA-3801-T27-002",0,"N-47",c(43.19636, 3.27225)
465,468,"Bu'aale","UNDP - 2006, UNDP - 1997, FSAU","Regional Capital","Middle Juba","Bu'aale","Verified",42.57317,1.24477,"NA-3809-U13-006","38NKG2993637709","Bu'aale","NA-3809-U13-006",0,"K-57",c(42.57317, 1.24477)
465,468,"Bu'aale","UNDP - 2006, UNDP - 1997, FSAU","Regional Capital","Middle Juba","Bu'aale","Verified",42.57317,1.24477,"NA-3809-U13-006","38NKG2993637709","Bu'aale","NA-3809-U13-006",0,"K-57",c(42.57317, 1.24477)
465,468,"Bu'aale","UNDP - 2006, UNDP - 1997, FSAU","Regional Capital","Middle Juba","Bu'aale","Verified",42.57317,1.24477,"NA-3809-U13-006","38NKG2993637709","Bu'aale","NA-3809-U13-006",0,"K-57",c(42.57317, 1.24477)
465,468,"Bu'aale","UNDP - 2006, UNDP - 1997, FSAU","Regional Capital","Middle Juba","Bu'aale","Verified",42.57317,1.24477,"NA-3809-U13-006","38NKG2993637709","Bu'aale","NA-3809-U13-006",0,"K-57",c(42.57317, 1.24477)
465,468,"Bu'aale","UNDP - 2006, UNDP - 1997, FSAU","Regional Capital","Middle Juba","Bu'aale","Verified",42.57317,1.24477,"NA-3809-U13-006","38NKG2993637709","Bu'aale","NA-3809-U13-006",0,"K-57",c(42.57317, 1.24477)
491,494,"Arilay","UNDP - 1997","Settlement","Gedo","Garbahaarrey","Verified",43.06226,3.16686,"NA-3801-V24-001","38NKJ8466450237",NA,"NA-3801-V24-001",0,"M-47",c(43.06226, 3.16686)
502,505,"Aroos Eber","UNDP - 2006","Settlement","Bakool","Xudur","Verified",44.0135,4.03086,"NB-3814-Z12-013","38NLK9049145604",NA,"NB-3814-Z12-013",0,"S-43",c(44.0135, 4.03086)
503,506,"Aroos Ibir","UNDP - 1997","Settlement","Bay","Baidoa","Verified",43.553631,3.0867,"NA-3802-X02-001","38NLJ3927041285",NA,"NA-3802-X02-001",0,"P-48",c(43.553631, 3.0867)
555,558,"Aw Cusman","UNDP - 2006, UNDP - 1997, FSAU","Settlement","Lower Shabelle","Wanla Weyn","Verified",44.92598,2.65502,"NA-3806-J32-002","38NMH9177293461",NA,"NA-3806-J32-002",0,"X-50",c(44.92598, 2.65502)
